"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3","1","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"3","C4","1","680n box","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","",""
"4","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"5","D3, D4, D5, D6","4","1N4148","Diode_SMD:D_SOD-323_HandSoldering","","",""
"6","D7","1","LED_GREEN","LED_THT:LED_D3.0mm","","",""
"7","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"8","J2, J3, J4","3","AudioJack2_SwitchT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"9","Q1","1","MMBF4393","Package_TO_SOT_SMD:SOT-23","","Mouser","863-MMBF4393LT1G"
"10","Q2","1","MMBF170","Package_TO_SOT_SMD:SOT-23","","Mouser","863-MMBF170LT1G"
"11","R1, R2, R5","3","10","Resistor_SMD:R_0805_2012Metric","","",""
"12","R3, R8, R10","3","120K","Resistor_SMD:R_0805_2012Metric","","",""
"13","R4","1","1M","Resistor_SMD:R_0805_2012Metric","","",""
"14","R6","1","470","Resistor_SMD:R_0805_2012Metric","","",""
"15","R7","1","2.2M","Resistor_SMD:R_0805_2012Metric","","",""
"16","R9","1","12K","Resistor_SMD:R_0805_2012Metric","","",""
"17","R11","1","1K","Resistor_SMD:R_0805_2012Metric","","",""
"18","RV1","1","A1M","Eurorack:Potentiometer_RV16AF-41-15R1","","Tayda","A-2425"
"19","SW1","1","SW_DPDT_x2","Eurorack:Switch_DPDT_Tayda_A-5752","","Tayda","A-6809"
"20","SW2","1","SW_SPDT_MSM","Eurorack:Switch_SPDT_Tayda_A-5751","","Tayda","A-5671"
"21","U1","1","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","Mouser","595-TL074CDR"
